,Unnamed: 0,GAME_ID,PLAYER_NAME,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DATE
0,0,22101217,Deni Avdija,F,31:08,5.0,12.0,0.417,1.0,5.0,0.2,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,0.0,1.0,2.0,12.0,-11.0,2022-04-10
1,39,22101204,Deni Avdija,F,25:48,5.0,11.0,0.455,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,3.0,1.0,0.0,4.0,2.0,11.0,-20.0,2022-04-08
2,57,22101192,Deni Avdija,,33:32,4.0,11.0,0.364,1.0,7.0,0.143,0.0,0.0,0.0,2.0,5.0,7.0,6.0,0.0,0.0,2.0,4.0,9.0,-16.0,2022-04-06
3,83,22101184,Deni Avdija,,35:39,7.0,15.0,0.467,2.0,7.0,0.286,1.0,3.0,0.333,1.0,7.0,8.0,5.0,1.0,2.0,3.0,4.0,17.0,16.0,2022-04-05
4,108,22101166,Deni Avdija,,22:48,4.0,7.0,0.571,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0,10.0,-32.0,2022-04-03
5,145,22101152,Deni Avdija,,25:56,5.0,10.0,0.5,3.0,5.0,0.6,1.0,1.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,2.0,1.0,14.0,5.0,2022-04-01
6,169,22101138,Deni Avdija,,25:58,3.0,10.0,0.3,1.0,6.0,0.167,1.0,2.0,0.5,1.0,7.0,8.0,5.0,0.0,1.0,2.0,4.0,8.0,5.0,2022-03-30
7,194,22101132,Deni Avdija,,28.000000:38,6.0,10.0,0.6,2.0,5.0,0.4,0.0,0.0,0.0,1.0,7.0,8.0,3.0,1.0,1.0,2.0,3.0,14.0,-11.0,2022-03-29
8,217,22101117,Deni Avdija,,28:10,5.0,9.0,0.556,3.0,4.0,0.75,1.0,2.0,0.5,1.0,6.0,7.0,4.0,1.0,0.0,2.0,4.0,14.0,0.0,2022-03-27
9,232,22101101,Deni Avdija,,31:50,7.0,16.0,0.438,3.0,7.0,0.429,4.0,4.0,1.0,0.0,10.0,10.0,4.0,0.0,1.0,4.0,1.0,21.0,5.0,2022-03-25
10,254,22101097,Deni Avdija,,31:37,5.0,13.0,0.385,2.0,7.0,0.286,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,2.0,12.0,-8.0,2022-03-24
11,280,22101077,Deni Avdija,,24:24,2.0,8.0,0.25,0.0,3.0,0.0,3.0,4.0,0.75,0.0,9.0,9.0,4.0,2.0,1.0,0.0,1.0,7.0,-7.0,2022-03-21
12,316,22101061,Deni Avdija,,31:43,4.0,14.0,0.286,3.0,8.0,0.375,6.0,6.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,0.0,2.0,17.0,10.0,2022-03-19
13,332,22101050,Deni Avdija,,24:37,1.0,5.0,0.2,0.0,2.0,0.0,2.0,4.0,0.5,0.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,-5.0,2022-03-18
14,368,22101035,Deni Avdija,,28:10,7.0,10.0,0.7,0.0,1.0,0.0,5.0,6.0,0.833,1.0,6.0,7.0,3.0,0.0,0.0,0.0,2.0,19.0,-14.0,2022-03-16
15,380,22101025,Deni Avdija,,28:41,4.0,8.0,0.5,2.0,4.0,0.5,3.0,5.0,0.6,0.0,2.0,2.0,4.0,1.0,0.0,0.0,3.0,13.0,-13.0,2022-03-14
16,403,22101011,Deni Avdija,,13:35,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-8.0,2022-03-12
17,425,22101004,Deni Avdija,,10:44,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,2022-03-11
18,451,22100992,Deni Avdija,,19:23,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,-7.0,2022-03-09
19,486,22100963,Deni Avdija,,30:42,3.0,8.0,0.375,0.0,3.0,0.0,4.0,4.0,1.0,2.0,5.0,7.0,3.0,0.0,0.0,1.0,2.0,10.0,8.0,2022-03-06
20,512,22100948,Deni Avdija,,22:30,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,2.0,1.0,9.0,0.0,2022-03-04
21,538,22100926,Deni Avdija,,9:15,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,2.0,6.0,2022-03-01
22,551,22100907,Deni Avdija,,23:18,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,3.0,4.0,0.0,5.0,2022-02-26
23,587,22100899,Deni Avdija,,37:03,6.0,10.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,1.0,8.0,9.0,1.0,2.0,1.0,3.0,3.0,14.0,-7.0,2022-02-25
24,598,22100464,Deni Avdija,,30:50,4.0,10.0,0.4,1.0,3.0,0.333,4.0,4.0,1.0,0.0,8.0,8.0,2.0,2.0,1.0,0.0,3.0,13.0,7.0,2022-02-17
25,624,22100876,Deni Avdija,,31:46,5.0,11.0,0.455,2.0,5.0,0.4,2.0,2.0,1.0,1.0,6.0,7.0,2.0,0.0,1.0,1.0,3.0,14.0,4.0,2022-02-16
26,658,22100858,Deni Avdija,,30:43,4.0,9.0,0.444,1.0,3.0,0.333,3.0,4.0,0.75,2.0,13.0,15.0,3.0,1.0,0.0,2.0,1.0,12.0,13.0,2022-02-14
27,685,22100847,Deni Avdija,,28:19,3.0,9.0,0.333,1.0,5.0,0.2,3.0,4.0,0.75,0.0,3.0,3.0,2.0,1.0,1.0,0.0,3.0,10.0,-14.0,2022-02-12
28,708,22100832,Deni Avdija,,31:36,5.0,11.0,0.455,2.0,6.0,0.333,1.0,1.0,1.0,0.0,4.0,4.0,1.0,1.0,1.0,0.0,4.0,13.0,-5.0,2022-02-10
29,730,22100811,Deni Avdija,,25:17,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,6.0,6.0,4.0,2.0,0.0,2.0,3.0,5.0,1.0,2022-02-07
30,755,22100798,Deni Avdija,,21:08,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,4.0,6.0,2.0,2022-02-05
31,768,22100774,Deni Avdija,,25:53,3.0,8.0,0.375,0.0,4.0,0.0,2.0,2.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2022-02-02
32,792,22100768,Deni Avdija,,21:50,2.0,4.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.0,6.0,6.0,1.0,0.0,0.0,2.0,3.0,6.0,14.0,2022-02-01
33,820,22100749,Deni Avdija,,26:07,3.0,8.0,0.375,1.0,2.0,0.5,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,2.0,7.0,-7.0,2022-01-29
34,858,22100716,Deni Avdija,,21:27,4.0,8.0,0.5,1.0,2.0,0.5,2.0,3.0,0.667,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,11.0,-4.0,2022-01-25
35,885,22100699,Deni Avdija,,26:52,6.0,9.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,0.0,0.0,4.0,13.0,-13.0,2022-01-23
36,906,22100689,Deni Avdija,F,31:15,4.0,8.0,0.5,1.0,5.0,0.2,0.0,0.0,0.0,1.0,4.0,5.0,6.0,0.0,0.0,2.0,2.0,9.0,1.0,2022-01-21
37,939,22100669,Deni Avdija,,22.000000:53,4.0,7.0,0.571,2.0,3.0,0.667,3.0,3.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,0.0,3.0,13.0,3.0,2022-01-19
38,969,22100656,Deni Avdija,,2:44,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,-2.0,2022-01-17
39,990,22100642,Deni Avdija,,19:47,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,2022-01-15
0,8,22000524,Deni Avdija,,6:46,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,-1.0,2021-02-28
1,50,22000517,Deni Avdija,,20:49,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,17.0,2021-02-27
2,62,22000502,Deni Avdija,,19:31,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,-2.0,2021-02-25
3,91,22000488,Deni Avdija,,11:31,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,-13.0,2021-02-23
4,118,22000479,Deni Avdija,,22:32,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,0.0,9.0,9.0,2.0,1.0,0.0,1.0,1.0,8.0,-4.0,2021-02-22
5,146,22000464,Deni Avdija,,11:06,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,-4.0,2021-02-20
6,188,22000437,Deni Avdija,,20:40,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,7.0,7.0,2.0,1.0,0.0,1.0,2.0,3.0,14.0,2021-02-17
7,213,22000421,Deni Avdija,,19:39,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,2021-02-15
8,242,22000560,Deni Avdija,,27:59,2.0,9.0,0.222,1.0,5.0,0.2,3.0,4.0,0.75,1.0,9.0,10.0,0.0,0.0,0.0,2.0,4.0,8.0,-2.0,2021-02-14
9,266,22000396,Deni Avdija,,21:30,3.0,9.0,0.333,1.0,5.0,0.2,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,0.0,2.0,3.0,8.0,-3.0,2021-02-12
10,295,22000382,Deni Avdija,,26:40,3.0,7.0,0.429,2.0,6.0,0.333,1.0,2.0,0.5,1.0,6.0,7.0,3.0,0.0,0.0,2.0,3.0,9.0,-11.0,2021-02-10
11,308,22000368,Deni Avdija,,28:28,2.0,9.0,0.222,0.0,5.0,0.0,0.0,2.0,0.0,0.0,10.0,10.0,1.0,3.0,0.0,1.0,4.0,4.0,15.0,2021-02-08
12,329,22000215,Deni Avdija,F,15:25,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,-22.0,2021-02-07
13,356,22000347,Deni Avdija,F,16:06,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0,3.0,4.0,-11.0,2021-02-05
14,385,22000331,Deni Avdija,F,32:55,5.0,9.0,0.556,3.0,5.0,0.6,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,2.0,13.0,-9.0,2021-02-03
15,427,22000559,Deni Avdija,F,23:04,5.0,6.0,0.833,2.0,3.0,0.667,1.0,1.0,1.0,3.0,4.0,7.0,3.0,0.0,0.0,0.0,3.0,13.0,4.0,2021-02-02
16,454,22000310,Deni Avdija,F,15:41,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,-9.0,2021-01-31
17,589,22000152,Deni Avdija,F,19:48,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,2.0,3.0,6.0,3.0,2021-01-11
18,619,22000136,Deni Avdija,F,31:38,7.0,15.0,0.467,5.0,9.0,0.556,1.0,1.0,1.0,0.0,5.0,5.0,5.0,2.0,0.0,0.0,2.0,20.0,-4.0,2021-01-09
19,635,22000124,Deni Avdija,F,14:25,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,-21.0,2021-01-08
20,662,22000109,Deni Avdija,F,15:31,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,-9.0,2021-01-06
21,692,22000086,Deni Avdija,F,16:23,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,-9.0,2021-01-03
22,722,22000074,Deni Avdija,F,27:14,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,0.0,0.0,7.0,7.0,3.0,3.0,0.0,1.0,3.0,11.0,32.0,2021-01-01
23,762,22000063,Deni Avdija,F,24:32,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,6.0,5.0,2020-12-31
24,793,22000050,Deni Avdija,F,26:19,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,1.0,1.0,5.0,9.0,-5.0,2020-12-29
25,822,22000033,Deni Avdija,F,36:11,4.0,11.0,0.364,1.0,5.0,0.2,0.0,0.0,0.0,2.0,7.0,9.0,3.0,2.0,0.0,1.0,1.0,9.0,13.0,2020-12-27
26,849,22000024,Deni Avdija,F,14:40,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,4.0,5.0,-7.0,2020-12-26
27,863,22000013,Deni Avdija,F,28:06,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.5,0.0,4.0,4.0,1.0,1.0,0.0,1.0,3.0,7.0,14.0,2020-12-23
